NO_OF_FRAMES	9900
NO_OF_CAMERAS	11
NO_OF_MARKERS	7
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-12-01, 12:03:34	608273.39028640
DATA_INCLUDED	3D
MARKER_NAMES	Head	R_Shoulder	R_Elbow	R_Hand	L_Shoulder	L_Elbow	Sternum
Frame	Time	Head X	Head Y	Head Z	R_Shoulder X	R_Shoulder Y	R_Shoulder Z	R_Elbow X	R_Elbow Y	R_Elbow Z	R_Hand X	R_Hand Y	R_Hand Z	L_Shoulder X	L_Shoulder Y	L_Shoulder Z	L_Elbow X	L_Elbow Y	L_Elbow Z	Sternum X	Sternum Y	Sternum Z	
124	0.41000	953.375	472.241	904.150	1101.091	646.552	540.889	0.000	0.000	0.000	1056.854	671.038	15.304	1038.810	253.926	634.724	958.360	88.687	428.635	968.935	448.809	505.063
125	0.41333	953.481	472.056	904.222	1100.707	646.599	540.966	0.000	0.000	0.000	1056.399	671.045	15.204	1039.396	253.636	634.506	961.424	88.357	427.294	968.924	448.647	505.064
126	0.41667	953.592	471.864	904.296	1100.357	646.681	541.044	0.000	0.000	0.000	1055.930	671.040	15.124	1040.008	253.463	634.406	964.501	88.048	425.972	968.931	448.510	505.059
127	0.42000	953.688	471.657	904.367	1099.999	646.735	541.084	0.000	0.000	0.000	1055.460	671.423	15.414	1040.577	253.017	633.896	967.628	87.849	424.634	968.935	448.352	505.067
128	0.42333	953.786	471.446	904.427	1099.634	646.737	541.111	0.000	0.000	0.000	1054.929	671.903	15.667	1041.171	252.767	633.722	970.674	87.767	423.102	968.939	448.199	505.069
129	0.42667	953.895	471.230	904.497	1099.266	646.778	541.188	0.000	0.000	0.000	1054.490	671.735	15.580	1041.741	252.533	633.545	973.760	87.663	421.797	968.921	448.004	505.058
130	0.43000	954.010	471.031	904.587	1098.884	646.846	541.234	0.000	0.000	0.000	1054.013	671.726	15.578	1042.326	252.252	633.313	976.831	87.607	420.418	968.977	447.758	505.166
131	0.43333	954.116	470.824	904.644	1098.543	646.868	541.255	0.000	0.000	0.000	1053.479	672.192	16.020	1042.909	251.998	633.136	979.924	87.548	419.035	968.946	447.563	505.178
132	0.43667	954.217	470.600	904.699	1098.217	646.885	541.394	0.000	0.000	0.000	1053.027	672.179	15.962	1043.507	251.742	632.886	982.952	87.573	417.596	968.938	447.369	505.195
133	0.44000	954.301	470.365	904.746	1097.834	646.967	541.526	0.000	0.000	0.000	1052.551	672.087	15.875	1044.072	251.465	632.647	986.098	87.550	416.236	968.933	447.130	505.234
